run_id,model_family,model_variant,train_size_label,seed,split,bin,bin_left,bin_right,bin_midpoint,row_count,avg_pred,empirical_pass_rate,ECE
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,8,0.8,0.9,0.8500000000000001,635,0.8488121544282268,0.8409448818897638,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed42,M1_TFIDF,baseline,full,42,val,9,0.9,1.0,0.95,257,0.9310700248651468,0.9182879377431906,0.08648871801619143
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,0,0.0,0.1,0.05,3975,0.03399478516855456,0.009811320754716982,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,1,0.1,0.2,0.15000000000000002,1772,0.14770487998664783,0.0208803611738149,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,2,0.2,0.30000000000000004,0.25,1340,0.24805290932530788,0.04328358208955224,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,3,0.30000000000000004,0.4,0.35000000000000003,1236,0.35053053575426246,0.07766990291262135,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,4,0.4,0.5,0.45,1157,0.45040284144847476,0.1633535004321521,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,5,0.5,0.6000000000000001,0.55,1210,0.5513258084285357,0.26694214876033057,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,1233,0.6505294474565393,0.3422546634225466,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,7,0.7000000000000001,0.8,0.75,1193,0.7489576917781814,0.4056999161777033,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,8,0.8,0.9,0.8500000000000001,889,0.8446546256609253,0.4330708661417323,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,test,9,0.9,1.0,0.95,257,0.9278607876384305,0.30739299610894943,0.20499907407550563
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,0,0.0,0.1,0.05,1671,0.03287666023316791,0.011968880909634948,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,1,0.1,0.2,0.15000000000000002,714,0.14792398740054846,0.04061624649859944,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,2,0.2,0.30000000000000004,0.25,598,0.24804464284093883,0.0802675585284281,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,3,0.30000000000000004,0.4,0.35000000000000003,625,0.3501215163707733,0.1632,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,4,0.4,0.5,0.45,538,0.4497448352189755,0.2174721189591078,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,5,0.5,0.6000000000000001,0.55,570,0.5513056953748067,0.4105263157894737,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,606,0.6509011692733261,0.5841584158415841,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,7,0.7000000000000001,0.8,0.75,626,0.7504881766086189,0.7364217252396166,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,8,0.8,0.9,0.8500000000000001,635,0.8487445916716508,0.8409448818897638,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed43,M1_TFIDF,baseline,full,43,val,9,0.9,1.0,0.95,257,0.9310215087716217,0.9182879377431906,0.08646129952019223
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,0,0.0,0.1,0.05,3975,0.033998611629961005,0.009811320754716982,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,1,0.1,0.2,0.15000000000000002,1772,0.14772223315409827,0.0208803611738149,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,2,0.2,0.30000000000000004,0.25,1340,0.2480799051251874,0.04328358208955224,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,3,0.30000000000000004,0.4,0.35000000000000003,1236,0.35056431181608283,0.07766990291262135,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,4,0.4,0.5,0.45,1155,0.450356647643176,0.16277056277056276,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,5,0.5,0.6000000000000001,0.55,1212,0.55128343929552,0.26732673267326734,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,1233,0.6505738900429044,0.3422546634225466,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,7,0.7000000000000001,0.8,0.75,1193,0.7489999359831127,0.4056999161777033,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,8,0.8,0.9,0.8500000000000001,889,0.8446895371540056,0.4330708661417323,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,test,9,0.9,1.0,0.95,257,0.9278813684033049,0.30739299610894943,0.20502449427604405
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,0,0.0,0.1,0.05,1671,0.032880877193281303,0.011968880909634948,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,1,0.1,0.2,0.15000000000000002,714,0.14794234659115807,0.04061624649859944,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,2,0.2,0.30000000000000004,0.25,598,0.2480741174623719,0.0802675585284281,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,3,0.30000000000000004,0.4,0.35000000000000003,625,0.3501610200405121,0.1632,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,4,0.4,0.5,0.45,538,0.4497871821033024,0.2174721189591078,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,5,0.5,0.6000000000000001,0.55,570,0.55135099396371,0.4105263157894737,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,606,0.6509448762970789,0.5841584158415841,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,7,0.7000000000000001,0.8,0.75,626,0.750528705481904,0.7364217252396166,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,8,0.8,0.9,0.8500000000000001,635,0.8487765441729328,0.8409448818897638,0.08648878493927435
strict__M1_TFIDF__baseline__full__seed44,M1_TFIDF,baseline,full,44,val,9,0.9,1.0,0.95,257,0.931040105884641,0.9182879377431906,0.08648878493927435
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,0,0.0,0.1,0.05,5129,0.040002237425797116,0.011698186781048937,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,1,0.1,0.2,0.15000000000000002,2003,0.14361916858511334,0.05341987019470794,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,2,0.2,0.30000000000000004,0.25,973,0.24720023494340165,0.12744090441932168,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,3,0.30000000000000004,0.4,0.35000000000000003,802,0.3498424220635112,0.14962593516209477,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,4,0.4,0.5,0.45,664,0.44982776072729064,0.16566265060240964,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,5,0.5,0.6000000000000001,0.55,611,0.5492900801173208,0.18003273322422259,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,504,0.6491593055072284,0.23809523809523808,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,7,0.7000000000000001,0.8,0.75,655,0.7509598622795279,0.2916030534351145,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,8,0.8,0.9,0.8500000000000001,925,0.8547253807815346,0.3016216216216216,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,test,9,0.9,1.0,0.95,1996,0.9476268681770336,0.44639278557114226,0.21297021451937861
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,0,0.0,0.1,0.05,1990,0.03845800590682681,0.01507537688442211,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,1,0.1,0.2,0.15000000000000002,875,0.14399768886395864,0.07771428571428571,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,2,0.2,0.30000000000000004,0.25,431,0.2447101158498335,0.13921113689095127,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,3,0.30000000000000004,0.4,0.35000000000000003,348,0.34736927847067517,0.22701149425287356,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,4,0.4,0.5,0.45,304,0.44732541473288284,0.22697368421052633,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,5,0.5,0.6000000000000001,0.55,316,0.5486885488410539,0.3575949367088608,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,308,0.6529370569563532,0.3538961038961039,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,7,0.7000000000000001,0.8,0.75,352,0.7516924561086026,0.4943181818181818,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,8,0.8,0.9,0.8500000000000001,537,0.8548786033021227,0.6089385474860335,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed42,M3_mean,mean_pooling,40k,42,val,9,0.9,1.0,0.95,1379,0.948530464132598,0.8020304568527918,0.12222955613553643
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,0,0.0,0.1,0.05,7010,0.03251951341268164,0.019971469329529243,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,1,0.1,0.2,0.15000000000000002,1803,0.14393696638936807,0.09761508596783139,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,2,0.2,0.30000000000000004,0.25,913,0.24468304128727802,0.15991237677984665,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,3,0.30000000000000004,0.4,0.35000000000000003,539,0.34495895133390053,0.20037105751391465,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,4,0.4,0.5,0.45,354,0.4477464102924207,0.22033898305084745,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,5,0.5,0.6000000000000001,0.55,297,0.5472524071783329,0.25925925925925924,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,300,0.652293042143186,0.23666666666666666,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,7,0.7000000000000001,0.8,0.75,320,0.7564142441377044,0.278125,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,8,0.8,0.9,0.8500000000000001,509,0.8539506329300361,0.30648330058939094,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,test,9,0.9,1.0,0.95,2217,0.962452067573919,0.48308525033829497,0.14808599087101781
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,0,0.0,0.1,0.05,2889,0.032754623172524255,0.0380754586362063,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,1,0.1,0.2,0.15000000000000002,864,0.1462269125558022,0.18981481481481483,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,2,0.2,0.30000000000000004,0.25,417,0.24479457385820164,0.2685851318944844,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,3,0.30000000000000004,0.4,0.35000000000000003,183,0.3434343044875098,0.34972677595628415,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,4,0.4,0.5,0.45,182,0.45354007250005074,0.34615384615384615,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,5,0.5,0.6000000000000001,0.55,155,0.5500634577966506,0.36774193548387096,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,150,0.6516724530855814,0.54,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,7,0.7000000000000001,0.8,0.75,183,0.7521369336732749,0.4972677595628415,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,8,0.8,0.9,0.8500000000000001,324,0.8584308664739868,0.5925925925925926,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed43,M3_mean,mean_pooling,40k,43,val,9,0.9,1.0,0.95,1493,0.9627890582860754,0.8044206296048225,0.07278885188940043
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,0,0.0,0.1,0.05,8013,0.020690513180254305,0.027954573817546485,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,1,0.1,0.2,0.15000000000000002,1071,0.1443993626884163,0.1400560224089636,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,2,0.2,0.30000000000000004,0.25,603,0.24413254446848906,0.18407960199004975,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,3,0.30000000000000004,0.4,0.35000000000000003,345,0.34909798762072686,0.24347826086956523,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,4,0.4,0.5,0.45,301,0.447168940325512,0.19933554817275748,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,5,0.5,0.6000000000000001,0.55,281,0.5482013119497333,0.22419928825622776,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,319,0.6521925694516459,0.23824451410658307,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,7,0.7000000000000001,0.8,0.75,458,0.7512679988900647,0.2554585152838428,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,8,0.8,0.9,0.8500000000000001,786,0.8549935093514489,0.3256997455470738,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,test,9,0.9,1.0,0.95,2085,0.9627972199476594,0.4657074340527578,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,0,0.0,0.1,0.05,3457,0.022205462947725983,0.05496094879953717,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,1,0.1,0.2,0.15000000000000002,485,0.14339293408946893,0.2329896907216495,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,2,0.2,0.30000000000000004,0.25,258,0.2449384086815886,0.3023255813953488,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,3,0.30000000000000004,0.4,0.35000000000000003,168,0.3439296806852023,0.31547619047619047,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,4,0.4,0.5,0.45,133,0.4461958726545922,0.3383458646616541,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,5,0.5,0.6000000000000001,0.55,135,0.5511609594027201,0.4074074074074074,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,157,0.6552867145295356,0.4840764331210191,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,7,0.7000000000000001,0.8,0.75,229,0.7539241883952544,0.5502183406113537,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,8,0.8,0.9,0.8500000000000001,498,0.8564712352542034,0.6104417670682731,0.0847437793919299
strict__M3_mean__mean_pooling__40k__seed44,M3_mean,mean_pooling,40k,44,val,9,0.9,1.0,0.95,1320,0.9610372147776863,0.8295454545454546,0.0847437793919299
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,0,0.0,0.1,0.05,7767,0.01953161419943638,0.02858246427191966,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,1,0.1,0.2,0.15000000000000002,999,0.14507106349274917,0.13813813813813813,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,2,0.2,0.30000000000000004,0.25,688,0.24789194125942018,0.19912790697674418,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,3,0.30000000000000004,0.4,0.35000000000000003,503,0.3456243638608375,0.1988071570576541,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,4,0.4,0.5,0.45,378,0.4460017260104891,0.22486772486772486,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,5,0.5,0.6000000000000001,0.55,317,0.5491174856194938,0.20504731861198738,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,346,0.6525193235777706,0.28034682080924855,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,7,0.7000000000000001,0.8,0.75,411,0.7540915361866174,0.2798053527980535,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,8,0.8,0.9,0.8500000000000001,790,0.8593759553341926,0.3493670886075949,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,test,9,0.9,1.0,0.95,2063,0.9426211609287974,0.4251090644692196,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,0,0.0,0.1,0.05,3279,0.020427703399500306,0.040866117718816715,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,1,0.1,0.2,0.15000000000000002,398,0.14461531042678272,0.18592964824120603,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,2,0.2,0.30000000000000004,0.25,292,0.2478570821758819,0.23972602739726026,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,3,0.30000000000000004,0.4,0.35000000000000003,233,0.34615991223011916,0.30042918454935624,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,4,0.4,0.5,0.45,151,0.4458198772360947,0.36423841059602646,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,5,0.5,0.6000000000000001,0.55,128,0.5477179335430264,0.375,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,156,0.6504715959995221,0.46153846153846156,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,7,0.7000000000000001,0.8,0.75,199,0.7536609499298748,0.48743718592964824,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,8,0.8,0.9,0.8500000000000001,528,0.8615405879011659,0.5984848484848485,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed42,M3_mean,mean_pooling,full,42,val,9,0.9,1.0,0.95,1476,0.9418714728135726,0.8123306233062331,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,0,0.0,0.1,0.05,7342,0.024219051676927155,0.02260964314900572,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,1,0.1,0.2,0.15000000000000002,1048,0.14514586802941698,0.09064885496183206,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,2,0.2,0.30000000000000004,0.25,612,0.2462247554091067,0.11601307189542484,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,3,0.30000000000000004,0.4,0.35000000000000003,502,0.3497368125801542,0.1553784860557769,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,4,0.4,0.5,0.45,535,0.4528630389231388,0.17943925233644858,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,5,0.5,0.6000000000000001,0.55,642,0.5519377010819325,0.2071651090342679,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,6,0.6000000000000001,0.7000000000000001,0.6500000000000001,667,0.6508396523467068,0.24587706146926536,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,7,0.7000000000000001,0.8,0.75,692,0.7492572765991178,0.2991329479768786,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,8,0.8,0.9,0.8500000000000001,658,0.8542342142493529,0.40425531914893614,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,test,9,0.9,1.0,0.95,1564,0.9442273607034513,0.5345268542199488,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,val,0,0.0,0.1,0.05,3082,0.02545481348515408,0.03666450356911097,0.06627001169938265
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,val,1,0.1,0.2,0.15000000000000002,494,0.1413680142477939,0.1882591093117409,0.06627001169938265
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,val,2,0.2,0.30000000000000004,0.25,291,0.2481370371641572,0.20962199312714777,0.06627001169938265
strict__M3_mean__mean_pooling__full__seed43,M3_mean,mean_pooling,full,43,val,3,0.30000000000000004,0.4,0.35000000000000003,231,0.35260598574365887,0.3116883116883117,0.06627001169938265
