run_id,tokenizer_protocol,model_family,model_variant,train_size_label,requested_train_size,effective_train_size,seed,split,row_count,positive_count,baseline_AUPRC,accuracy,f1,precision,brier,AUROC,AUPRC,ECE
strict__M3_mean__mean_pooling__40k__seed44,strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,44,test,14262,2112,0.1480858224652924,0.7843920908708456,0.490978314848535,0.37744973275642657,0.16694418484488927,0.843156487716673,0.44048754151872166,0.14813764269760576
strict__M3_mean__mean_pooling__40k__seed44,strict_atomic_train,M3_mean,mean_pooling,40k,40k,40000,44,val,6840,2135,0.3121345029239766,0.8301169590643275,0.7402771569065713,0.7079948696023942,0.12979292046509194,0.9004655468919158,0.7986209911079502,0.0847437793919299
strict__M3_mean__mean_pooling__full__seed42,strict_atomic_train,M3_mean,mean_pooling,full,full,61504,42,test,14262,2112,0.1480858224652924,0.7770999859767214,0.47358834244080145,0.3641456582633053,0.1710633920134063,0.8294438209253024,0.37141446220340457,0.15225910236746534
strict__M3_mean__mean_pooling__full__seed42,strict_atomic_train,M3_mean,mean_pooling,full,full,61504,42,val,6840,2135,0.3121345029239766,0.8307017543859649,0.749459108610991,0.6964213912344189,0.1277895899255646,0.9070697623485903,0.8020394316861158,0.07945390552645194
strict__M3_mean__mean_pooling__full__seed43,strict_atomic_train,M3_mean,mean_pooling,full,full,61504,43,test,14262,2112,0.1480858224652924,0.7810265039966344,0.5070244672454617,0.38029836609045703,0.15166056548746545,0.8580944670470133,0.5100453271279665,0.14950680801353483
strict__M3_mean__mean_pooling__full__seed43,strict_atomic_train,M3_mean,mean_pooling,full,full,61504,43,val,6840,2135,0.3121345029239766,0.8236842105263158,0.7413127413127413,0.6838148001582904,0.12229990589825356,0.9055717794861713,0.8061473912095252,0.06627001169938265
strict__M3_mean__mean_pooling__full__seed44,strict_atomic_train,M3_mean,mean_pooling,full,full,61504,44,test,14262,2112,0.1480858224652924,0.7985556022998177,0.49195402298850577,0.39260513688964155,0.15627293207331489,0.8446503226711559,0.5018032308745917,0.1339415348523933
strict__M3_mean__mean_pooling__full__seed44,strict_atomic_train,M3_mean,mean_pooling,full,full,61504,44,val,6840,2135,0.3121345029239766,0.8301169590643275,0.7350661194710443,0.7161261661483785,0.12736362077183092,0.9058176686817303,0.8118282706759459,0.08341288255930646
strict__M4_frozen__frozen_encoder__20k__seed42,strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,42,test,14262,2112,0.1480858224652924,0.7951198990323938,0.4640498899486427,0.3787425149700599,0.14840809464787239,0.8094950274348421,0.4206580054392727,0.13192818169457757
strict__M4_frozen__frozen_encoder__20k__seed42,strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,42,val,6840,2135,0.3121345029239766,0.8162280701754386,0.706239775648516,0.7047574626865671,0.13331525457142668,0.8789839400508204,0.7658722978878686,0.05900256806857947
strict__M4_frozen__frozen_encoder__20k__seed43,strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,43,test,14262,2112,0.1480858224652924,0.7834104613658673,0.45606620883958443,0.3630501822259602,0.15872696531146993,0.8123536288814066,0.37334651219983533,0.1398598061675495
strict__M4_frozen__frozen_encoder__20k__seed43,strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,43,val,6840,2135,0.3121345029239766,0.8105263157894737,0.7066545948392938,0.6837494524748139,0.1356678425683753,0.8811719059150287,0.7636742576117814,0.07405402594059732
strict__M4_frozen__frozen_encoder__20k__seed44,strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,44,test,14262,2112,0.1480858224652924,0.795049782639181,0.4500470366886171,0.3733999375585389,0.14583632774879265,0.8110928342062602,0.3899021254157322,0.11886880704721729
strict__M4_frozen__frozen_encoder__20k__seed44,strict_atomic_train,M4_frozen,frozen_encoder,20k,20k,20000,44,val,6840,2135,0.3121345029239766,0.8005847953216374,0.6848428835489834,0.6757865937072504,0.13970773038682294,0.8687433519077568,0.7488785132839642,0.06343627973883528
strict__M4_frozen__frozen_encoder__40k__seed42,strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,42,test,14262,2112,0.1480858224652924,0.7705090450147244,0.46667752973765686,0.355776397515528,0.16088113922318556,0.8232253865818682,0.4754405165562979,0.1590092046732573
strict__M4_frozen__frozen_encoder__40k__seed42,strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,42,val,6840,2135,0.3121345029239766,0.810672514619883,0.7249946910172012,0.6631701631701632,0.13641051720212238,0.8877105675112678,0.7842298003726254,0.08080664109871437
strict__M4_frozen__frozen_encoder__40k__seed43,strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,43,test,14262,2112,0.1480858224652924,0.7667227597812368,0.4651985211380807,0.3521538087125821,0.16244647045119165,0.8192691965955855,0.3768409525683983,0.15452855221677358
strict__M4_frozen__frozen_encoder__40k__seed43,strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,43,val,6840,2135,0.3121345029239766,0.8033625730994152,0.7159450897571278,0.6519230769230769,0.13707959742899498,0.8858323523482666,0.7716778498729363,0.08036611963753007
strict__M4_frozen__frozen_encoder__40k__seed44,strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,44,test,14262,2112,0.1480858224652924,0.7838311597251437,0.4738009899300222,0.3704296770749933,0.15743336210912998,0.8241870284636489,0.3976854545490581,0.14232706074412313
strict__M4_frozen__frozen_encoder__40k__seed44,strict_atomic_train,M4_frozen,frozen_encoder,40k,40k,40000,44,val,6840,2135,0.3121345029239766,0.8090643274853802,0.7134708205353225,0.6710689228229467,0.13644835925898935,0.8837444842922099,0.771579768088429,0.07660862233511809
strict__M4_frozen__frozen_encoder__full__seed42,strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,42,test,14262,2112,0.1480858224652924,0.7576076286635816,0.46428017976135133,0.34508177839207554,0.16801429826519632,0.8199853083302158,0.41509802975038285,0.17114327933408383
strict__M4_frozen__frozen_encoder__full__seed42,strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,42,val,6840,2135,0.3121345029239766,0.8080409356725147,0.7223514485091985,0.6584425597532768,0.1310946030074958,0.8943382768344006,0.7933122360076612,0.07419663563449189
strict__M4_frozen__frozen_encoder__full__seed43,strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,43,test,14262,2112,0.1480858224652924,0.7698779974758099,0.478882184820578,0.36024844720496896,0.160606003357989,0.8298350207320114,0.40733887832331994,0.1532572817177852
strict__M4_frozen__frozen_encoder__full__seed43,strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,43,val,6840,2135,0.3121345029239766,0.8150584795321637,0.7348564242297212,0.6650227617602428,0.13031992026286324,0.8952156134661666,0.7902146759894848,0.07715451833078102
strict__M4_frozen__frozen_encoder__full__seed44,strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,44,test,14262,2112,0.1480858224652924,0.7618847286495583,0.4773776546629732,0.353625170998632,0.17355065078303286,0.8240239197530864,0.371717112874134,0.1703643955496154
strict__M4_frozen__frozen_encoder__full__seed44,strict_atomic_train,M4_frozen,frozen_encoder,full,full,61504,44,val,6840,2135,0.3121345029239766,0.8004385964912281,0.7196549599507086,0.6408193123628383,0.14095290128866855,0.8923224334070835,0.7917239255511632,0.10035792532428162
